Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence	Rank
878	Spectrogram 1	1	20210316_144618.WAV	1070.0	1073.0	150	15000	eurtre1	Eurasian Treecreeper	0.3476834737944791	3
879	Spectrogram 1	1	20210316_144618.WAV	1072.0	1075.0	150	15000	blutit	Eurasian Blue Tit	0.26932725936796104	1
880	Spectrogram 1	1	20210316_144618.WAV	1072.0	1075.0	150	15000	eurtre1	Eurasian Treecreeper	0.25258467692884207	2
881	Spectrogram 1	1	20210316_144618.WAV	1072.0	1075.0	150	15000	yellow2	Yellowhammer	0.2520949267739654	3
882	Spectrogram 1	1	20210316_144618.WAV	1074.0	1077.0	150	15000	eurrob1	European Robin	0.2469177513722026	1
883	Spectrogram 1	1	20210316_144618.WAV	1074.0	1077.0	150	15000	eurtre1	Eurasian Treecreeper	0.23749036840675875	2
884	Spectrogram 1	1	20210316_144618.WAV	1074.0	1077.0	150	15000	eurbul	Eurasian Bullfinch	0.22602001514182296	3
885	Spectrogram 1	1	20210316_144618.WAV	1076.0	1079.0	150	15000	eurtre1	Eurasian Treecreeper	0.3804648644297959	1
886	Spectrogram 1	1	20210316_144618.WAV	1076.0	1079.0	150	15000	blutit	Eurasian Blue Tit	0.3544229645662179	2
887	Spectrogram 1	1	20210316_144618.WAV	1076.0	1079.0	150	15000	eurrob1	European Robin	0.3453700603470686	3
888	Spectrogram 1	1	20210316_144618.WAV	1078.0	1081.0	150	15000	wlwwar	Willow Warbler	0.3625626815595187	1
889	Spectrogram 1	1	20210316_144618.WAV	1078.0	1081.0	150	15000	yellow2	Yellowhammer	0.3618954136303597	2
890	Spectrogram 1	1	20210316_144618.WAV	1078.0	1081.0	150	15000	blutit	Eurasian Blue Tit	0.33681983115305997	3
891	Spectrogram 1	1	20210316_144618.WAV	1026.0	1029.0	150	15000	eurtre1	Eurasian Treecreeper	0.36462662182817424	1
892	Spectrogram 1	1	20210316_144618.WAV	1026.0	1029.0	150	15000	misthr1	Mistle Thrush	0.3646122080538369	2
893	Spectrogram 1	1	20210316_144618.WAV	1026.0	1029.0	150	15000	eurrob1	European Robin	0.3585650908841882	3
894	Spectrogram 1	1	20210316_144618.WAV	1028.0	1031.0	150	15000	eurtre1	Eurasian Treecreeper	0.36001446868814574	1
895	Spectrogram 1	1	20210316_144618.WAV	1028.0	1031.0	150	15000	wlwwar	Willow Warbler	0.3505913655097655	2
896	Spectrogram 1	1	20210316_144618.WAV	1028.0	1031.0	150	15000	yellow2	Yellowhammer	0.3452324982139552	3
897	Spectrogram 1	1	20210316_144618.WAV	1080.0	1083.0	150	15000	eurrob1	European Robin	0.24754248018438277	1
898	Spectrogram 1	1	20210316_144618.WAV	1080.0	1083.0	150	15000	yellow2	Yellowhammer	0.24476675323025632	2
899	Spectrogram 1	1	20210316_144618.WAV	1080.0	1083.0	150	15000	redwin	Redwing	0.23949834233342113	3
900	Spectrogram 1	1	20210316_144618.WAV	1090.0	1093.0	150	15000	eurtre1	Eurasian Treecreeper	0.362947505873811	1
901	Spectrogram 1	1	20210316_144618.WAV	1090.0	1093.0	150	15000	misthr1	Mistle Thrush	0.35056687833372546	2
902	Spectrogram 1	1	20210316_144618.WAV	1090.0	1093.0	150	15000	woowar	Wood Warbler	0.34509907336144513	3
903	Spectrogram 1	1	20210316_144618.WAV	1092.0	1095.0	150	15000	eurtre1	Eurasian Treecreeper	0.33046233472623426	1
904	Spectrogram 1	1	20210316_144618.WAV	1092.0	1095.0	150	15000	woowar	Wood Warbler	0.29518573865891135	2
905	Spectrogram 1	1	20210316_144618.WAV	1092.0	1095.0	150	15000	firecr1	Common Firecrest	0.29127515307342167	3
906	Spectrogram 1	1	20210316_144618.WAV	1094.0	1097.0	150	15000	misthr1	Mistle Thrush	0.28788562211812824	1
907	Spectrogram 1	1	20210316_144618.WAV	1094.0	1097.0	150	15000	eurbla	Eurasian Blackbird	0.25154450924925675	2
908	Spectrogram 1	1	20210316_144618.WAV	1094.0	1097.0	150	15000	eurrob1	European Robin	0.2507384136194967	3
909	Spectrogram 1	1	20210316_144618.WAV	1096.0	1099.0	150	15000	gretit1	Great Tit	0.3291534178680843	1
910	Spectrogram 1	1	20210316_144618.WAV	1096.0	1099.0	150	15000	eurrob1	European Robin	0.3153693611755787	2
911	Spectrogram 1	1	20210316_144618.WAV	1096.0	1099.0	150	15000	wlwwar	Willow Warbler	0.3089406698051011	3
912	Spectrogram 1	1	20210316_144618.WAV	1098.0	1101.0	150	15000	eurtre1	Eurasian Treecreeper	0.28174164354602477	1
913	Spectrogram 1	1	20210316_144618.WAV	1098.0	1101.0	150	15000	eurrob1	European Robin	0.2796738329932973	2
914	Spectrogram 1	1	20210316_144618.WAV	1098.0	1101.0	150	15000	gyfwoo1	Gray-headed Woodpecker	0.27521872153483556	3
915	Spectrogram 1	1	20210316_144618.WAV	1082.0	1085.0	150	15000	webwar1	Western Bonelli's Warbler	0.3278783651650241	1
916	Spectrogram 1	1	20210316_144618.WAV	1082.0	1085.0	150	15000	woowar	Wood Warbler	0.3223504185242819	2
917	Spectrogram 1	1	20210316_144618.WAV	1082.0	1085.0	150	15000	gyfwoo1	Gray-headed Woodpecker	0.3095484732968469	3
918	Spectrogram 1	1	20210316_144618.WAV	1100.0	1103.0	150	15000	wlwwar	Willow Warbler	0.37521979043432846	1
919	Spectrogram 1	1	20210316_144618.WAV	1100.0	1103.0	150	15000	yellow2	Yellowhammer	0.36653952084322916	2
920	Spectrogram 1	1	20210316_144618.WAV	1100.0	1103.0	150	15000	comred2	Common Redstart	0.34492906476570273	3
921	Spectrogram 1	1	20210316_144618.WAV	1102.0	1105.0	150	15000	blutit	Eurasian Blue Tit	0.45586163266405927	1
922	Spectrogram 1	1	20210316_144618.WAV	1102.0	1105.0	150	15000	eurtre1	Eurasian Treecreeper	0.3571349507339809	2
923	Spectrogram 1	1	20210316_144618.WAV	1102.0	1105.0	150	15000	gyfwoo1	Gray-headed Woodpecker	0.35662426689469795	3
924	Spectrogram 1	1	20210316_144618.WAV	1104.0	1107.0	150	15000	eurtre1	Eurasian Treecreeper	0.27866144903982076	1
925	Spectrogram 1	1	20210316_144618.WAV	1104.0	1107.0	150	15000	wlwwar	Willow Warbler	0.27515957919445877	2
926	Spectrogram 1	1	20210316_144618.WAV	1104.0	1107.0	150	15000	eurrob1	European Robin	0.2739623796800791	3
927	Spectrogram 1	1	20210316_144618.WAV	1106.0	1109.0	150	15000	eurcoo	Eurasian Coot	0.446817381334202	1
928	Spectrogram 1	1	20210316_144618.WAV	1106.0	1109.0	150	15000	tawowl1	Tawny Owl	0.3473942886593727	2
929	Spectrogram 1	1	20210316_144618.WAV	1106.0	1109.0	150	15000	comcra	Common Crane	0.3451705179533799	3
930	Spectrogram 1	1	20210316_144618.WAV	1108.0	1111.0	150	15000	comcra	Common Crane	0.33772411102784383	1
931	Spectrogram 1	1	20210316_144618.WAV	1108.0	1111.0	150	15000	tawowl1	Tawny Owl	0.282627219431875	2
932	Spectrogram 1	1	20210316_144618.WAV	1108.0	1111.0	150	15000	comcuc	Common Cuckoo	0.25479438857422254	3
933	Spectrogram 1	1	20210316_144618.WAV	1110.0	1113.0	150	15000	eurtre1	Eurasian Treecreeper	0.34530887092516266	1
934	Spectrogram 1	1	20210316_144618.WAV	1110.0	1113.0	150	15000	eurrob1	European Robin	0.3292836737673274	2
935	Spectrogram 1	1	20210316_144618.WAV	1110.0	1113.0	150	15000	woowar	Wood Warbler	0.3216389909481093	3
936	Spectrogram 1	1	20210316_144618.WAV	1112.0	1115.0	150	15000	eurtre1	Eurasian Treecreeper	0.352832482152755	1
937	Spectrogram 1	1	20210316_144618.WAV	1112.0	1115.0	150	15000	webwar1	Western Bonelli's Warbler	0.3311927360420732	2
938	Spectrogram 1	1	20210316_144618.WAV	1112.0	1115.0	150	15000	eurrob1	European Robin	0.330684755174104	3
939	Spectrogram 1	1	20210316_144618.WAV	1114.0	1117.0	150	15000	eurtre1	Eurasian Treecreeper	0.3686317070697056	1
940	Spectrogram 1	1	20210316_144618.WAV	1114.0	1117.0	150	15000	gyfwoo1	Gray-headed Woodpecker	0.36254773434371157	2
941	Spectrogram 1	1	20210316_144618.WAV	1114.0	1117.0	150	15000	blawoo1	Black Woodpecker	0.3546853051563371	3
942	Spectrogram 1	1	20210316_144618.WAV	1116.0	1119.0	150	15000	blutit	Eurasian Blue Tit	0.27442996910207457	1
943	Spectrogram 1	1	20210316_144618.WAV	1116.0	1119.0	150	15000	eurtre1	Eurasian Treecreeper	0.26544342874167376	2
944	Spectrogram 1	1	20210316_144618.WAV	1116.0	1119.0	150	15000	firecr1	Common Firecrest	0.259079269535213	3
945	Spectrogram 1	1	20210316_144618.WAV	1118.0	1121.0	150	15000	eurtre1	Eurasian Treecreeper	0.32554853654691746	1
946	Spectrogram 1	1	20210316_144618.WAV	1118.0	1121.0	150	15000	norgos	Northern Goshawk	0.2957212792439138	2
947	Spectrogram 1	1	20210316_144618.WAV	1118.0	1121.0	150	15000	goldcr1	Goldcrest	0.2948398213096838	3
948	Spectrogram 1	1	20210316_144618.WAV	1084.0	1087.0	150	15000	eurtre1	Eurasian Treecreeper	0.32375411199120696	1
949	Spectrogram 1	1	20210316_144618.WAV	1084.0	1087.0	150	15000	eurrob1	European Robin	0.28896744329595736	2
950	Spectrogram 1	1	20210316_144618.WAV	1084.0	1087.0	150	15000	norgos	Northern Goshawk	0.2884083883656667	3
951	Spectrogram 1	1	20210316_144618.WAV	1120.0	1123.0	150	15000	eurtre1	Eurasian Treecreeper	0.4116577902224833	1
952	Spectrogram 1	1	20210316_144618.WAV	1120.0	1123.0	150	15000	firecr1	Common Firecrest	0.3696215663548584	2
953	Spectrogram 1	1	20210316_144618.WAV	1120.0	1123.0	150	15000	eurrob1	European Robin	0.3470085141864718	3
954	Spectrogram 1	1	20210316_144618.WAV	1122.0	1125.0	150	15000	comcra	Common Crane	0.4207755677379017	1
955	Spectrogram 1	1	20210316_144618.WAV	1122.0	1125.0	150	15000	blutit	Eurasian Blue Tit	0.32843150701598367	2
956	Spectrogram 1	1	20210316_144618.WAV	1122.0	1125.0	150	15000	gyfwoo1	Gray-headed Woodpecker	0.323567768640939	3
957	Spectrogram 1	1	20210316_144618.WAV	1124.0	1127.0	150	15000	tawowl1	Tawny Owl	0.4221587343008656	1
958	Spectrogram 1	1	20210316_144618.WAV	1124.0	1127.0	150	15000	comcra	Common Crane	0.4047956171529634	2
959	Spectrogram 1	1	20210316_144618.WAV	1124.0	1127.0	150	15000	norgos	Northern Goshawk	0.3402236064281941	3
960	Spectrogram 1	1	20210316_144618.WAV	1126.0	1129.0	150	15000	norgos	Northern Goshawk	0.3650704379421558	1
961	Spectrogram 1	1	20210316_144618.WAV	1126.0	1129.0	150	15000	comcra	Common Crane	0.36010428849087756	2
962	Spectrogram 1	1	20210316_144618.WAV	1126.0	1129.0	150	15000	tawowl1	Tawny Owl	0.32552608175053377	3
963	Spectrogram 1	1	20210316_144618.WAV	1128.0	1131.0	150	15000	eurtre1	Eurasian Treecreeper	0.38710644255726523	1
964	Spectrogram 1	1	20210316_144618.WAV	1128.0	1131.0	150	15000	shttre1	Short-toed Treecreeper	0.35918737538517226	2
965	Spectrogram 1	1	20210316_144618.WAV	1128.0	1131.0	150	15000	gyfwoo1	Gray-headed Woodpecker	0.3521498775316427	3
966	Spectrogram 1	1	20210316_144618.WAV	1130.0	1133.0	150	15000	blutit	Eurasian Blue Tit	0.38461428241079226	1
967	Spectrogram 1	1	20210316_144618.WAV	1130.0	1133.0	150	15000	gretit1	Great Tit	0.3517041736109693	2
968	Spectrogram 1	1	20210316_144618.WAV	1130.0	1133.0	150	15000	gyfwoo1	Gray-headed Woodpecker	0.3473684506624482	3
969	Spectrogram 1	1	20210316_144618.WAV	1132.0	1135.0	150	15000	eurtre1	Eurasian Treecreeper	0.35713178707854804	1
970	Spectrogram 1	1	20210316_144618.WAV	1132.0	1135.0	150	15000	goldcr1	Goldcrest	0.2900272828082464	2
